id,short_name,long_name,shape_id,route_id1,proof_of_payment,ft_mode,vehicle_name,route_id
504,CT202,201 SMK PT-LYN TC,210504,3202,0,premium_bus,premium_bus1,2_3202
66,MK021,21 ARBOR HTS-SCBD,210066,1021,0,local_bus,llocal_bus1,2_1021
181,MK099,99 WATRFRNT STCAR,210181,1099,0,local_bus,llocal_bus1,2_1099
354,MK346,346 AUR VIL-NGATE,210354,1346,0,local_bus,llocal_bus1,2_1346
633,PT013,13 N 30TH ST,210633,2013,0,local_bus,llocal_bus1,2_2013
29,MK009,9 RAINR BCH-BRDWY,210029,1009,0,premium_bus,premium_bus1,2_1009
665,RLLR,LightRail SeaTac,210665,6011,0,light_rail,llight_rail1,2_6011
571,PT052,52 TCC-TCOMA MALL,210571,2052,0,local_bus,llocal_bus1,2_2052
210,MK124,124 Tukwila Intl Bl*,210210,1124,0,local_bus,llocal_bus1,2_1124
334,MK255,255 JNTA-KRK-SCBD,210334,1255,0,local_bus,llocal_bus1,2_1255
22,MK005,5 SH CC-GRWD-SCBD,210022,1005,0,local_bus,llocal_bus1,2_1005
699,KT013,13 PARKWOOD E LTD,210699,4013,0,local_bus,llocal_bus1,2_4013
249,MK156,156 Scnter-S Tac-De*,210249,1156,0,local_bus,llocal_bus1,2_1156
200,MK118,118 TAHLQ-VSH HTS,210200,1118,0,premium_bus,premium_bus1,2_1118
137,MK055,55 ADMRL-JCT-SCBD,210137,1055,0,local_bus,llocal_bus1,2_1055
118,MK044,44 BLLRD-UW-MNTLK,210118,1044,0,local_bus,llocal_bus1,2_1044
4,MK002,2 W Q ANN-MADRONA,210004,1002,0,local_bus,llocal_bus1,2_1002
713,KT029,29 TRENTON AVENUE,210713,4029,0,local_bus,llocal_bus1,2_4029
487,CT280,GraniteFalls-Everet*,210487,3280,0,local_bus,llocal_bus1,2_3280
240,MK150,150 AUB-KENT-SCBD,210240,1150,0,local_bus,llocal_bus1,2_1150
167,MK073,73 JCPK-I5-SEA EX,210167,1073,0,premium_bus,premium_bus1,2_1073
501,CT221,Marysville-LakeStev*,210501,3221,0,local_bus,llocal_bus1,2_3221
576,PT500,500 FEDERAL WAY N,210576,2500,0,local_bus,llocal_bus1,2_2500
321,MK245,245 KRK-OVRLK-FCT,210321,1245,0,local_bus,llocal_bus1,2_1245
401,ST555,555 ISSAQ-BTC-NGT E*,210401,6555,0,premium_bus,premium_bus1,2_6555
690,ET008,8 MERRIL CK-EV ST,210690,7008,0,local_bus,llocal_bus1,2_7008
339,MK271,271 ISSQH-BELV-UW,210339,1271,0,local_bus,llocal_bus1,2_1271
153,MK070,70 UW-SEATTLE CBD,210153,1070,0,local_bus,llocal_bus1,2_1070
602,PT402,402 MERIDIAN,210602,2402,0,local_bus,llocal_bus1,2_2402
530,CT112,871 EDM-MTLKTR-UW,210530,3112,0,local_bus,llocal_bus1,2_3112
187,MK106,106 RNTN-SKY-SCBD,210187,1106,0,local_bus,llocal_bus1,2_1106
309,MK234,234 KENMR-KRK-BEL,210309,1234,0,local_bus,llocal_bus1,2_1234
450,MK926,926 CROSSRDS-EGTE,210450,1926,0,local_bus,llocal_bus1,2_1926
725,KT092,92 POUL-SUQ-KNGST,210725,4092,0,local_bus,llocal_bus1,2_4092
14,MK004,4 E Q AN-JUDKN PK,210014,1004,0,local_bus,llocal_bus1,2_1004
88,MK031,31 UW-FRMNT-MAGNL,210088,1031,0,local_bus,llocal_bus1,2_1031
46,MK014,14 SUMMIT-MT BAKR,210046,1014,0,local_bus,llocal_bus1,2_1014
97,MK036,36 RAINR BCH-SCBD,210097,1036,0,local_bus,llocal_bus1,2_1036
55,MK016,16 NGT-WLFRD-SCBD,210055,1016,0,local_bus,llocal_bus1,2_1016
739,KT032,32 POULSBO-SLVRDL,210739,4032,0,local_bus,llocal_bus1,2_4032
219,MK131,131 HL CC-BUR-SEA,210219,1131,0,local_bus,llocal_bus1,2_1131
676,ET027,27 Murphys Conr-Mal*,210676,7027,0,local_bus,llocal_bus1,2_7027
136,MK054,54 WHTCR-JCT-SCBD,210136,1054,0,local_bus,llocal_bus1,2_1054
545,ST592,592 Dupont-Seattle,210545,6592,0,premium_bus,premium_bus1,2_6592
294,MK221,221 Ed Hill-Xroads *,210294,1221,0,local_bus,llocal_bus1,2_1221
657,WFSBR,WSF SEA-BREMERTON,210657,5006,0,ferry,ferry1,2_5006
473,ST532,532 BELVUE-EVERTT SB,210473,6532,0,premium_bus,premium_bus1,2_6532
60,MK018,18 LOYAL HTS-SCBD,210060,1018,0,local_bus,llocal_bus1,2_1018
120,MK044,44 BLLRD-UW-MNTLK,210120,1044,0,local_bus,llocal_bus1,2_1044
402,ST556,556 ISSAQ-BTC-NGT W*,210402,6556,0,premium_bus,premium_bus1,2_6556
701,KT017,17 KITSP MALL LTD,210701,4017,0,local_bus,llocal_bus1,2_4017
667,PT603,603 OLY-SR512-TAC,210667,2603,0,premium_bus,premium_bus1,2_2603
242,MK150,150 AUB-KENT-SCBD,210242,1150,0,local_bus,llocal_bus1,2_1150
359,MK355,355 ShrlnCC-SCBD,210359,1355,0,premium_bus,premium_bus1,2_1355
140,MK056,56 ALKI-SEA CBD N,210140,1056,0,local_bus,llocal_bus1,2_1056
215,MK128,128 W SEA-SOCENTR,210215,1128,0,local_bus,llocal_bus1,2_1128
678,ET029,29 Mall Sta - Coll *,210678,7029,0,local_bus,llocal_bus1,2_7029
506,CT201,202 ARLNGTN-EV ST,210506,3201,0,premium_bus,premium_bus1,2_3201
289,MK212,212 EGTE P&R-SCBD W*,210289,1212,0,local_bus,llocal_bus1,2_1212
370,ST522,ST522c,210370,6522,0,premium_bus,premium_bus1,2_6522
389,ST550,550 BELLVU-SEACBD,210389,6550,0,premium_bus,premium_bus1,2_6550
311,MK236,236 WOOD-KNGT-KRK,210311,1236,0,local_bus,llocal_bus1,2_1236
564,PT054,54 38TH ST,210564,2054,0,local_bus,llocal_bus1,2_2054
718,KT090,90 POULS TC-BAINB,210718,4090,0,local_bus,llocal_bus1,2_4090
279,MK203,203 N MERCER ISLN,210279,1203,0,local_bus,llocal_bus1,2_1203
492,CT270,270 EVRT-GOLD BAR,210492,3270,0,local_bus,llocal_bus1,2_3270
90,MK031,31 UW-FRMNT-MAGNL,210090,1031,0,local_bus,llocal_bus1,2_1031
172,MK074,74 NOAA-UW-LWR QA,210172,1074,0,premium_bus,premium_bus1,2_1074
621,PT207,207 Ft Lewis,210621,2207,0,local_bus,llocal_bus1,2_2207
75,MK025,25 LRLHST-UW-SCBD,210075,1025,0,local_bus,llocal_bus1,2_1025
202,MK119,119 DCKTN-VSH HTS,210202,1119,0,local_bus,llocal_bus1,2_1119
607,PT003,3 LAKEWOOD-TACOMA,210607,2003,0,local_bus,llocal_bus1,2_2003
84,MK028,28 BROADVW-SEACBD,210084,1028,0,local_bus,llocal_bus1,2_1028
158,MK071,71 WDG-I5-SCBD EX,210158,1071,0,premium_bus,premium_bus1,2_1071
192,MK107,107 RNTN-RANR BCH,210192,1107,0,local_bus,llocal_bus1,2_1107
535,CT106,105 MARNR PR-BTHL,210535,3106,0,local_bus,llocal_bus1,2_3106
62,MK018,18 LOYAL HTS-SCBD,210062,1018,0,local_bus,llocal_bus1,2_1018
106,MK041,41 LKCTY-NGT-SCBD,210106,1041,0,local_bus,llocal_bus1,2_1041
233,MK140,140 BUR-SEATC-RNT,210233,1140,0,local_bus,llocal_bus1,2_1140
255,MK166,166 DES MOIN-KENT,210255,1166,0,local_bus,llocal_bus1,2_1166
744,KT008,8 TREMONT SB     ,210744,4008,0,local_bus,llocal_bus1,2_4008
363,MK372,MK372b,210363,1372,0,premium_bus,premium_bus1,2_1372
461,CT871,870 EDMONDS-UW SB,210461,3871,0,premium_bus,premium_bus1,2_3871
590,PT041,41 PORTLAND AVE,210590,2041,0,local_bus,llocal_bus1,2_2041
147,MK066,66 NGATE-UW-SCBD ,210147,1066,0,premium_bus,premium_bus1,2_1066
377,ST545,545 RED-SCBD-HLGT,210377,6545,0,premium_bus,premium_bus1,2_6545
70,MK023,23 WHITE CTR-SCBD,210070,1023,0,local_bus,llocal_bus1,2_1023
550,ST590,590 Seattle-Taco,210550,6590,0,premium_bus,premium_bus1,2_6590
518,CT120,120 LYN TC-UW BTH,210518,3120,0,local_bus,llocal_bus1,2_3120
436,MK914,914 KENT-EAST HLL,210436,1914,0,local_bus,llocal_bus1,2_1914
478,ST510,510 EVERTT-SEACBD,210478,6510,0,premium_bus,premium_bus1,2_6510
662,WFVSW,WSF VASHN-STHWRTH,210662,5008,0,ferry,ferry1,2_5008
727,KT086,86 SOUTHWRTH SHTL,210727,4086,0,local_bus,llocal_bus1,2_4086
125,MK048,48 RAIN BC-LYL HT,210125,1048,0,local_bus,llocal_bus1,2_1048
706,KT021,21 PERRY AVENUE,210706,4021,0,local_bus,llocal_bus1,2_4021
281,MK204,204 S MI-MERCR IS,210281,1204,0,local_bus,llocal_bus1,2_1204
247,MK155,155 FAIRWD-SOCNTR,210247,1155,0,local_bus,llocal_bus1,2_1155
315,MK238,MK238b,210315,1238,0,local_bus,llocal_bus1,2_1238
77,MK025,25 LRLHST-UW-SCBD,210077,1025,0,local_bus,llocal_bus1,2_1025
407,ST560,560 BEL-STAC-WSEA,210407,6560,0,premium_bus,premium_bus1,2_6560
583,PT444,444  Parkland-Sp,210583,2444,0,local_bus,llocal_bus1,2_2444
683,ET005,5 Everett Circ SB,210683,7005,0,local_bus,llocal_bus1,2_7005
511,CT190,112 EDM CC-MKLTEO,210511,3190,0,local_bus,llocal_bus1,2_3190
69,MK022,22 WHITE CTR-SCBD,210069,1022,0,local_bus,llocal_bus1,2_1022
543,ST594,594 LKWD-TAC-SCBD,210543,6594,0,premium_bus,premium_bus1,2_6594
394,ST554,554 ISSAQ-SEA CBD,210394,6554,0,premium_bus,premium_bus1,2_6554
72,MK024,24 MAGNOLIA-SCBD ,210072,1024,0,local_bus,llocal_bus1,2_1024
569,PT053,53 Manitou,210569,2053,0,local_bus,llocal_bus1,2_2053
537,CT105,106 MAR PR-BTH PR,210537,3105,0,local_bus,llocal_bus1,2_3105
457,MK929,929 NO BEND-REDMD,210457,1929,0,local_bus,llocal_bus1,2_1929
497,CT240,240 STNWD-ARLNGTN,210497,3240,0,local_bus,llocal_bus1,2_3240
347,MK330,330 SHRL CC-LKCTY,210347,1330,0,local_bus,llocal_bus1,2_1330
626,PT202,202 72ND STREET E,210626,2202,0,local_bus,llocal_bus1,2_2202
41,MK012,12 CAP HILL-SCBD ,210041,1012,0,local_bus,llocal_bus1,2_1012
226,MK132,132 HL CC-BUR-SEA,210226,1132,0,local_bus,llocal_bus1,2_1132
10,MK003,3 N Q ANNE-MDRONA,210010,1003,0,local_bus,llocal_bus1,2_1003
552,PT059,59 MANITOU,210552,2059,0,local_bus,llocal_bus1,2_2059
379,ST545,545 RED-SCBD-HLGT,210379,6545,0,premium_bus,premium_bus1,2_6545
650,WFEDK,WSF EDMNDS-KNGSTN,210650,5001,0,ferry,ferry1,2_5001
111,MK042,42 RAINER VW-SCBD,210111,1042,0,local_bus,llocal_bus1,2_1042
480,CT421,421 Marysville-Seat*,210480,3421,0,premium_bus,premium_bus1,2_3421
271,MK182,182 NE TAC-FED WY,210271,1182,0,local_bus,llocal_bus1,2_1182
160,MK072,72 LKC-I5-SCBD EX,210160,1072,0,premium_bus,premium_bus1,2_1072
609,PT028,28 S 12TH ST,210609,2028,0,local_bus,llocal_bus1,2_2028
466,CT851,870 EDMONDS-UW SB,210466,3851,0,premium_bus,premium_bus1,2_3851
424,MK901,901 MIR LK-FED TC,210424,1901,0,local_bus,llocal_bus1,2_1901
664,RLMNR,MNRL SEACTR-WSTLK,210664,8001,0,light_rail,llight_rail1,2_8001
260,MK169,169 KNT TC-RNT TC,210260,1169,0,local_bus,llocal_bus1,2_1169
595,PT408,408 Sumner to Bonne*,210595,2408,0,local_bus,llocal_bus1,2_2408
150,MK068,68 NORTHGATE-UW S,210150,1068,0,local_bus,llocal_bus1,2_1068
81,MK026,26 E GRNLK-SEACBD,210081,1026,0,local_bus,llocal_bus1,2_1026
251,MK156,156 Scnter-S Tac-De*,210251,1156,0,local_bus,llocal_bus1,2_1156
523,CT118,118 AUR VL-ASH WY,210523,3118,0,local_bus,llocal_bus1,2_3118
32,MK010,10 CAP HILL-SCBD ,210032,1010,0,local_bus,llocal_bus1,2_1010
302,MK230,230 KNGSG-BTC-RED,210302,1230,0,local_bus,llocal_bus1,2_1230
441,MK916,916 KENT-EAST HLL,210441,1916,0,local_bus,llocal_bus1,2_1916
365,MK372,372 WDNVL-BTHL-UW,210365,1372,0,premium_bus,premium_bus1,2_1372
732,KT024,24 OLYMPIC COLLEG,210732,4024,0,local_bus,llocal_bus1,2_4024
286,MK208,208 NWPRT HS-EGTE EB,210286,1208,0,local_bus,llocal_bus1,2_1208
20,MK005,5 SH CC-GRWD-SCBD,210020,1005,0,local_bus,llocal_bus1,2_1005
499,CT222,222 MRYSVL-TULALP,210499,3222,0,local_bus,llocal_bus1,2_3222
28,MK008,8 SEACTR-CAP-RANR,210028,1008,0,local_bus,llocal_bus1,2_1008
628,PT002,2 19TH-BRIDGEPORT,210628,2002,0,local_bus,llocal_bus1,2_2002
329,MK251,251 UW BTH-RD-KRK,210329,1251,0,local_bus,llocal_bus1,2_1251
588,PT410,410 112TH STREET,210588,2410,0,local_bus,llocal_bus1,2_2410
145,MK065,65 LKCTY-WDGWD-UW,210145,1065,0,local_bus,llocal_bus1,2_1065
516,CT121,121 LYN TC-UW BTH,210516,3121,0,local_bus,llocal_bus1,2_3121
413,ST599,599 Lakewood-Tacoma*,210413,6599,0,premium_bus,premium_bus1,2_6599
319,MK245,245 KRK-OVRLK-FCT,210319,1245,0,local_bus,llocal_bus1,2_1245
195,MK110,110 N RNTN-SW RNT SB,210195,1110,0,local_bus,llocal_bus1,2_1110
708,KT023,23 KARIOTS/TRCYTN,210708,4023,0,local_bus,llocal_bus1,2_4023
113,MK043,43 UW-CAP HL-SCBD,210113,1043,0,local_bus,llocal_bus1,2_1043
179,MK098,98 SLU STREETCAR**,210179,1098,0,local_bus,llocal_bus1,2_1098
352,MK346,346 AUR VIL-NGATE,210352,1346,0,local_bus,llocal_bus1,2_1346
51,MK015,15 CROWN HLL-SCBD,210051,1015,0,local_bus,llocal_bus1,2_1015
396,ST554,554 ISSAQ-SEA CBD,210396,6554,0,premium_bus,premium_bus1,2_6554
685,ET007,7 EVERGRN-N COLBY,210685,7007,0,local_bus,llocal_bus1,2_7007
231,MK139,139 GRG HT-BURIEN,210231,1139,0,local_bus,llocal_bus1,2_1139
23,MK007,7 RAIN BCH-SEACBD,210023,1007,0,local_bus,llocal_bus1,2_1007
525,CT116,116 EDM-ECC-SL FR,210525,3116,0,local_bus,llocal_bus1,2_3116
304,MK230,230 KNGSG-BTC-RED,210304,1230,0,local_bus,llocal_bus1,2_1230
557,ST574,574 Seatac-Lakew,210557,6574,0,premium_bus,premium_bus1,2_6574
384,ST545,545 RED-SCBD-HLGT,210384,6545,0,premium_bus,premium_bus1,2_6545
485,CT280,280 GRAN FLLS-EVT,210485,3280,0,local_bus,llocal_bus1,2_3280
443,MK917,917 AUBR-ALGN-PAC,210443,1917,0,local_bus,llocal_bus1,2_1917
276,MK197,197 FEDERAL WY-UW,210276,1197,0,local_bus,llocal_bus1,2_1197
720,KT090,90 POULS TC-BAINB,210720,4090,0,local_bus,llocal_bus1,2_4090
614,PT214,214 WASHINGTON,210614,2214,0,local_bus,llocal_bus1,2_2214
165,MK073,73 JCPK-I5-SEA EX,210165,1073,0,premium_bus,premium_bus1,2_1073
12,MK003,3 N Q ANNE-MDRONA,210012,1003,0,local_bus,llocal_bus1,2_1003
640,PT010,10 PEARL ST,210640,2010,0,local_bus,llocal_bus1,2_2010
361,MK358,358 AUR VL-SEACBD,210361,1358,0,premium_bus,premium_bus1,2_1358
429,MK908,908 RNT-RNT HLNDS,210429,1908,0,local_bus,llocal_bus1,2_1908
42,MK013,13 SPU-SEA CBD SB,210042,1013,0,local_bus,llocal_bus1,2_1013
337,MK271,271 ISSQH-BELV-UW,210337,1271,0,local_bus,llocal_bus1,2_1271
671,ET017,17 Mall Statn NB,210671,7017,0,local_bus,llocal_bus1,2_7017
185,MK105,105 RNT-RNT HGLND,210185,1105,0,local_bus,llocal_bus1,2_1105
372,ST522,ST522e,210372,6522,0,premium_bus,premium_bus1,2_6522
411,ST566,566 ISSAQ-NGATE EX**,210411,6566,0,premium_bus,premium_bus1,2_6566
737,KT009,19 SouthPark,210737,4000,0,local_bus,llocal_bus1,2_4000
652,WFFSW,WSF FAUNTLR-SWRTH,210652,5003,0,ferry,ferry1,2_5003
58,MK017,17 LYLH-BLRD-SCBD,210058,1017,0,local_bus,llocal_bus1,2_1017
103,MK039,39 RAINR BCH-SCBD,210103,1039,0,local_bus,llocal_bus1,2_1039
468,CT810,McCollumP&R-UDistri*,210468,3810,0,premium_bus,premium_bus1,2_3810
252,MK156,156 Scnter-S Tac-De*,210252,1156,0,local_bus,llocal_bus1,2_1156
368,ST522,ST522a,210368,6522,0,premium_bus,premium_bus1,2_6522
696,KT005,5 CEDAR HEIGHTS S,210696,4005,0,local_bus,llocal_bus1,2_4005
258,MK168,168 TIMBERLN-KENT,210258,1168,0,local_bus,llocal_bus1,2_1168
464,CT860,870 EDMONDS-UW SB,210464,3860,0,premium_bus,premium_bus1,2_3860
366,MK373,373 AURVL-15TH-UW,210366,1373,0,premium_bus,premium_bus1,2_1373
736,KT012,12 SILVERDLE WEST,210736,4012,0,local_bus,llocal_bus1,2_4012
148,MK067,67 NORTHGTE TC-UW,210148,1067,0,local_bus,llocal_bus1,2_1067
593,PT409,409 PUYALP-SUMNER,210593,2409,0,local_bus,llocal_bus1,2_2409
673,ET018,18 Mukilteo-Evert S*,210673,7018,0,local_bus,llocal_bus1,2_7018
521,CT119,Meadowdale-LynwoodTC,210521,3119,0,local_bus,llocal_bus1,2_3119
300,MK230,230 KNGSG-BTC-RED,210300,1230,0,local_bus,llocal_bus1,2_1230
553,ST586,586 Tacoma-UDist,210553,6586,0,premium_bus,premium_bus1,2_6586
2,MK001,1 KINNEAR-SEA CBD,210002,1001,0,local_bus,llocal_bus1,2_1001
326,MK249,249 BEL-OVRLK-RDM,210326,1249,0,local_bus,llocal_bus1,2_1249
579,PT048,48 SHERIDAN-M ST ,210579,2048,0,local_bus,llocal_bus1,2_2048
687,ET701,ET701,210687,7701,0,local_bus,llocal_bus1,2_7701
322,MK248,248 Avondl-Redmnd T*,210322,1248,0,local_bus,llocal_bus1,2_1248
290,MK213,213 N MERCER ISLN,210290,1213,0,local_bus,llocal_bus1,2_1213
507,CT201,SmokeyPoint-Lynwood*,210507,3201,0,premium_bus,premium_bus1,2_3201
425,MK901,901 MIR LK-FED TC,210425,1901,0,local_bus,llocal_bus1,2_1901
636,PT011,11 POINT DEFIANCE,210636,2011,0,local_bus,llocal_bus1,2_2011
357,MK348,348 RICH BCH-NGTE,210357,1348,0,local_bus,llocal_bus1,2_1348
213,MK125,125 SHWD-WTCT-SEA,210213,1125,0,local_bus,llocal_bus1,2_1125
49,MK014,14 SUMMIT-MT BAKR,210049,1014,0,local_bus,llocal_bus1,2_1014
345,MK312,MK312a,210345,1312,0,premium_bus,premium_bus1,2_1312
387,ST550,550 BELLVU-SEACBD,210387,6550,0,premium_bus,premium_bus1,2_6550
203,MK119,119 DCKTN-VSH HTS,210203,1119,0,local_bus,llocal_bus1,2_1119
562,PT055,55 TAC MALL-PRKLN,210562,2055,0,local_bus,llocal_bus1,2_2055
121,MK046,46 SHLSHL-BLRD-UW EB,210121,1046,0,local_bus,llocal_bus1,2_1046
490,CT275,275 MONR-EVT STN ,210490,3275,0,premium_bus,premium_bus1,2_3275
277,MK200,200 ISSAQ-N ISSAQ,210277,1200,0,local_bus,llocal_bus1,2_1200
705,KT021,21 PERRY AVENUE,210705,4021,0,local_bus,llocal_bus1,2_4021
619,PT212,212 STEILACOOM-P,210619,2212,0,local_bus,llocal_bus1,2_2212
243,MK153,153 KENT-RENTON NB,210243,1153,0,local_bus,llocal_bus1,2_1153
170,MK073,73 JCPK-I5-SEA EX,210170,1073,0,premium_bus,premium_bus1,2_1073
63,MK018,18 LOYAL HTS-SCBD,210063,1018,0,local_bus,llocal_bus1,2_1018
654,WFPDT,WSF PT DEFI-TAHLQ,210654,5004,0,ferry,ferry1,2_5004
434,MK913,913DART Kent Statio*,210434,1913,0,local_bus,llocal_bus1,2_1913
476,ST511,511 ASH WY-SEACBD,210476,6511,0,premium_bus,premium_bus1,2_6511
605,PT300,300 SO TACOMA WAY,210605,2300,0,local_bus,llocal_bus1,2_2300
342,MK272,272 EGT-CRSRDS-UW,210342,1272,0,local_bus,llocal_bus1,2_1272
156,MK071,71 WDG-I5-SCBD EX,210156,1071,0,premium_bus,premium_bus1,2_1071
533,CT110,110 LYNWD TC-EDMD,210533,3110,0,local_bus,llocal_bus1,2_3110
190,MK106,106 RNTN-SKY-SCBD,210190,1106,0,local_bus,llocal_bus1,2_1106
312,MK236,236 WOOD-KNGT-KRK,210312,1236,0,local_bus,llocal_bus1,2_1236
722,KT091,91 INDIANOLA-BAIN,210722,4091,0,premium_bus,premium_bus1,2_4091
17,MK004,4 E Q AN-JUDKN PK,210017,1004,0,local_bus,llocal_bus1,2_1004
453,MK927,927 SAMMISH-ISSQH,210453,1927,0,local_bus,llocal_bus1,2_1927
292,MK219,219 FACT-NEWCS CW SB,210292,1219,0,local_bus,llocal_bus1,2_1219
644,ST578,Puyallup-Seattle,210644,6578,0,premium_bus,premium_bus1,2_6578
132,MK053,53 W SEA CIRCL CW,210132,1053,0,local_bus,llocal_bus1,2_1053
541,PT061,61 NE TAC-BRWN PT,210541,2061,0,premium_bus,premium_bus1,2_2061
509,CT190,112 EDM CC-MKLTEO,210509,3190,0,local_bus,llocal_bus1,2_3190
638,PT100,100  Gig Harbor,210638,2100,0,local_bus,llocal_bus1,2_2100
59,MK017,17 LYLH-BLRD-SCBD,210059,1017,0,local_bus,llocal_bus1,2_1017
427,MK903,903 TWN LK-FED TC,210427,1903,0,local_bus,llocal_bus1,2_1903
741,KT037,37 FAIRGRNDS SHTL,210741,4037,0,local_bus,llocal_bus1,2_4037
469,CT701,701 Swift-Aurora-Ev*,210469,3701,0,premium_bus,premium_bus1,2_3701
598,PT406,406 BUCKLEY,210598,2406,0,local_bus,llocal_bus1,2_2406
24,MK007,7 RAIN BCH-SEACBD,210024,1007,0,local_bus,llocal_bus1,2_1007
82,MK027,27 COLMAN PK-SCBD,210082,1027,0,local_bus,llocal_bus1,2_1027
409,ST566,566 ISSAQ-NGATE EX**,210409,6566,0,premium_bus,premium_bus1,2_6566
